title;description;url;image
QuiQ (Quantum Path Finder);An app made in JS and Python to determine the best addition in the NYC subway system by simulating qubits.;https://github.com/grid-rider/Qpath_optimizer;subway.png
Library Management App;A management app made using Tkinter to make library administration 75% automatic.;https://github.com/ninadwastaken/library_desktop_app;library.png
Automatic Folding Board;A sketch made using Arduino language for automatically folding clothes using ultrasonic sensors and servo motors.;https://github.com/ninadwastaken/foldmatic;folding_board.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/ninadwastaken/pdf-maker;3.png
Weather Forecast Web App;A web-app that works with a weather API to display temperature and rainfall of any city on a graph.;https://github.com/ninadwastaken/weather-forecast-webapp;weather-icon.png
AI Chess App;A chess app made in C++ and Python which acts as a low-level chess-engine.;https://github.com/Dragon-KK/chez;chess.png
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/ninadwastaken/todo-web-app;1.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/ninadwastaken/excel-to-pdf-invoicer;4.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/ninadwastaken/weather-api-flask-website;6.png
Portfolio Website;My portfolio website :).;https://github.com/ninadwastaken/portfolio-website;professional-portfolio.png
